,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
idx,English,Darija_latin,Darija_arabic,MSA,Checkbox,Assignment,Darija_latin correction,Darija_arabic correction,Accept?,Reviewer,Observations,,,,
4000,Good evening!,masa2 lkhayr!,ماساء لخاير!,مساء الخير! ,TRUE,ABBADI Khaoula,,مْسا الخير!,FALSE,Rajaa,,,,,
4001,What do you have on the pressure?,ach 3andak 3la DaghT?,أش عانداك علا ضاغط?,ماذا لديك عن الضغط؟,TRUE,ABBADI Khaoula,,آش عندك على الضغط ؟,FALSE,Rajaa,,,,,
4002,On the pressure?,3la DaghT?,علا ضاغط?,تحت الضغط؟,TRUE,ABBADI Khaoula,,على الضغط؟,FALSE,Rajaa,,,,,
4003,i don't follow.,mafhamtch?,مافهامتش?,لا أفهم.,TRUE,ABBADI Khaoula,,مافهمتش.,FALSE,Rajaa,,,,,
4004,I am pretty stressed out with work at the moment.,ana matwatar bzaf flkhadma bzaf fhad lwa9t,أنا ماتواتار بزاف فلخادما بزاف فهاد لواقت,أنا متوتر جدًا بسبب العمل في الوقت الحالي.,TRUE,ABBADI Khaoula,,أنا متوتر بزاف مع الخدمة هاد الساعة.,FALSE,Rajaa,,,,,
4005,I am pretty stressed out right now,ana mstressi chwia daba,أنا مسترسّي شويا دابا,أنا متوتر جدًا الآن,TRUE,ABBADI Khaoula,,أنا مستريسّي بزاف دابا,FALSE,Rajaa,,,,,
4006,is that what you mean?,wach hadchi likat3ni?,واش هادشي ليكاتعني?,هل هذا ما تقصده؟,TRUE,ABBADI Khaoula,,,,,,,,,
4007,"No, I just wanted to ask what beers do you have",la bghit ghir nsawal 3la anwa3 lbira li3ndak,لا بغيت غير نساوال علا أنواع لبيرا ليعنداك,لا، أردت فقط أن أسأل، ما هي أنواع البيرة التي لديكم؟,TRUE,ABBADI Khaoula,,لا بغيت غير نسول علا أنواع لبيرا ليعندك.,FALSE,Rajaa,,,,,
4008,"If you have wine, I'll be fine, too.",ila kan 3ndak chrab ghadi nkon bikhir,إلا كان عنداك شراب غادي نكون بيخير,إذا كان لديك نبيذ، سأكون بخير أيضًا.,TRUE,ABBADI Khaoula,,إلا كان عندك الشراب غادي نكون بيخير,FALSE,Rajaa,,,,,
4009,oh!,oh!,أُه!,آه!,TRUE,ABBADI Khaoula,,آه!,FALSE,Rajaa,,,,,
4010,sorry!,sma7li!,سماحلي!,آسف!,TRUE,ABBADI Khaoula,,سمحلي!,FALSE,Rajaa,,,,,
4011,It's quite bitter but very refreshing,hiya mora chwia walakin mon3icha,هييا مورا شويا والاكين مونعيشا,إنه مر جداً لكنه منعش للغاية,TRUE,ABBADI Khaoula,,هوا مْرْ شويا ولكن مُنعش.,FALSE,Rajaa,,,,,
4012,I wouldn't recommend the meat,makanwSSich bll7em,ماكانوصّيش بلّحم,لا أنصح باللحم,TRUE,ABBADI Khaoula,,مانصحكش بلّحم.,FALSE,Rajaa,,,,,
